"Title","A* to C in English and Maths GCSE by ethnicity and area"
"Location","England"
"Time period","2015/16"
"Data source","Key stage 4 statistics https://www.gov.uk/government/statistics/revised-gcse-and-equivalent-results-in-england-2015-to-2016"
"Source","https://www.ethnicityfactsandfigures.digitalbeta.org.uk"

"Measure","Time","Time Type","Ethnicity","Ethnicity Type","Geography","Geography type","ONS geography code","Gender","FSM","Value","Denominator"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Newcastle upon Tyne","Local Authority","E08000021","All pupils","All pupils","46","13"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","North Tyneside","Local Authority","E08000022","All pupils","All pupils","100","9"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Northumberland","Local Authority","E06000057","All pupils","All pupils","100","6"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local Authority","E06000003","All pupils","All pupils","!","!"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","South Tyneside","Local Authority","E08000023","All pupils","All pupils","N/A","0"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local Authority","E06000004","All pupils","All pupils","!","!"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Sunderland","Local Authority","E08000024","All pupils","All pupils","100","3"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Blackburn with Darwen","Local Authority","E06000008","All pupils","All pupils","!","!"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Blackpool","Local Authority","E06000009","All pupils","All pupils","100","5"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Bolton","Local Authority","E08000001","All pupils","All pupils","!","7"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Bury","Local Authority","E08000002","All pupils","All pupils","!","4"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Cheshire East","Local Authority","E06000049","All pupils","All pupils","73","15"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Cheshire West and Chester","Local Authority","E06000050","All pupils","All pupils","!","8"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Cumbria","Local Authority","E10000006","All pupils","All pupils","!","9"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Halton","Local Authority","E06000006","All pupils","All pupils","N/A","0"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Knowsley","Local Authority","E08000011","All pupils","All pupils","!","!"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Lancashire","Local Authority","E10000017","All pupils","All pupils","88","32"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Liverpool","Local Authority","E08000012","All pupils","All pupils","82","45"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Manchester","Local Authority","E08000003","All pupils","All pupils","81","43"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Oldham","Local Authority","E08000004","All pupils","All pupils","!","7"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Rochdale","Local Authority","E08000005","All pupils","All pupils","!","!"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Salford","Local Authority","E08000006","All pupils","All pupils","!","6"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Sefton","Local Authority","E08000014","All pupils","All pupils","100","8"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","St. Helens","Local Authority","E08000013","All pupils","All pupils","100","4"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Stockport","Local Authority","E08000007","All pupils","All pupils","56","16"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Tameside","Local Authority","E08000008","All pupils","All pupils","67","12"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Trafford","Local Authority","E08000009","All pupils","All pupils","90","49"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Warrington","Local Authority","E06000007","All pupils","All pupils","!","6"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Wigan","Local Authority","E08000010","All pupils","All pupils","100","3"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Wirral","Local Authority","E08000015","All pupils","All pupils","100","14"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Barnsley","Local Authority","E08000016","All pupils","All pupils","N/A","0"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Bradford","Local Authority","E08000032","All pupils","All pupils","!","!"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Calderdale","Local Authority","E08000033","All pupils","All pupils","100","4"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Doncaster","Local Authority","E08000017","All pupils","All pupils","!","10"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","East Riding of Yorkshire","Local Authority","E06000011","All pupils","All pupils","!","3"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Kingston upon Hull, City of","Local Authority","E06000010","All pupils","All pupils","!","!"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Kirklees","Local Authority","E08000034","All pupils","All pupils","100","10"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Leeds","Local Authority","E08000035","All pupils","All pupils","75","28"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","North East Lincolnshire","Local Authority","E06000012","All pupils","All pupils","!","!"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","North Lincolnshire","Local Authority","E06000013","All pupils","All pupils","100","4"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","North Yorkshire","Local Authority","E10000023","All pupils","All pupils","100","13"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Rotherham","Local Authority","E08000018","All pupils","All pupils","!","8"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Sheffield","Local Authority","E08000019","All pupils","All pupils","83","18"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Wakefield","Local Authority","E08000036","All pupils","All pupils","!","6"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","York","Local Authority","E06000014","All pupils","All pupils","!","9"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Derby","Local Authority","E06000015","All pupils","All pupils","!","8"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Derbyshire","Local Authority","E10000007","All pupils","All pupils","71","14"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Leicester","Local Authority","E06000016","All pupils","All pupils","!","3"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Leicestershire","Local Authority","E10000018","All pupils","All pupils","73","22"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Lincolnshire","Local Authority","E10000019","All pupils","All pupils","82","33"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Northamptonshire","Local Authority","E10000021","All pupils","All pupils","!","20"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Nottingham","Local Authority","E06000018","All pupils","All pupils","100","8"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Nottinghamshire","Local Authority","E10000024","All pupils","All pupils","88","25"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Rutland","Local Authority","E06000017","All pupils","All pupils","N/A","0"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Birmingham","Local Authority","E08000025","All pupils","All pupils","82","45"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Coventry","Local Authority","E08000026","All pupils","All pupils","!","9"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Dudley","Local Authority","E08000027","All pupils","All pupils","!","4"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Herefordshire, County of","Local Authority","E06000019","All pupils","All pupils","100","4"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Sandwell","Local Authority","E08000028","All pupils","All pupils","!","5"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Shropshire","Local Authority","E06000051","All pupils","All pupils","!","8"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Solihull","Local Authority","E08000029","All pupils","All pupils","!","10"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Staffordshire","Local Authority","E10000028","All pupils","All pupils","80","20"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Stoke-on-Trent","Local Authority","E06000021","All pupils","All pupils","!","9"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Telford and Wrekin","Local Authority","E06000020","All pupils","All pupils","!","9"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Walsall","Local Authority","E08000030","All pupils","All pupils","100","3"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Warwickshire","Local Authority","E10000031","All pupils","All pupils","69","16"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Wolverhampton","Local Authority","E08000031","All pupils","All pupils","!","3"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Worcestershire","Local Authority","E10000034","All pupils","All pupils","!","8"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Bedford","Local Authority","E06000055","All pupils","All pupils","100","3"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Cambridgeshire","Local Authority","E10000003","All pupils","All pupils","87","30"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Central Bedfordshire","Local Authority","E06000056","All pupils","All pupils","!","10"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Essex","Local Authority","E10000012","All pupils","All pupils","80","51"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Hertfordshire","Local Authority","E10000015","All pupils","All pupils","84","63"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Luton","Local Authority","E06000032","All pupils","All pupils","!","4"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Norfolk","Local Authority","E10000020","All pupils","All pupils","84","25"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Peterborough","Local Authority","E06000031","All pupils","All pupils","!","8"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Southend-on-Sea","Local Authority","E06000033","All pupils","All pupils","!","22"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Suffolk","Local Authority","E10000029","All pupils","All pupils","!","4"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Thurrock","Local Authority","E06000034","All pupils","All pupils","67","9"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Camden","Local Authority","E09000007","All pupils","All pupils","!","10"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","City of London","Local Authority","E09000001","All pupils","All pupils","N/A","N/A"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Hackney","Local Authority","E09000012","All pupils","All pupils","!","12"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Hammersmith and Fulham","Local Authority","E09000013","All pupils","All pupils","!","6"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Haringey","Local Authority","E09000014","All pupils","All pupils","67","12"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Islington","Local Authority","E09000019","All pupils","All pupils","!","!"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Kensington and Chelsea","Local Authority","E09000020","All pupils","All pupils","!","!"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Lambeth","Local Authority","E09000022","All pupils","All pupils","!","15"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Lewisham","Local Authority","E09000023","All pupils","All pupils","76","37"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Newham","Local Authority","E09000025","All pupils","All pupils","73","11"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Southwark","Local Authority","E09000028","All pupils","All pupils","91","34"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Tower Hamlets","Local Authority","E09000030","All pupils","All pupils","100","10"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Wandsworth","Local Authority","E09000032","All pupils","All pupils","100","14"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Westminster","Local Authority","E09000033","All pupils","All pupils","!","18"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Barking and Dagenham","Local Authority","E09000002","All pupils","All pupils","!","6"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Barnet","Local Authority","E09000003","All pupils","All pupils","87","46"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Bexley","Local Authority","E09000004","All pupils","All pupils","85","40"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Brent","Local Authority","E09000005","All pupils","All pupils","!","9"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Bromley","Local Authority","E09000006","All pupils","All pupils","89","36"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Croydon","Local Authority","E09000008","All pupils","All pupils","!","21"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Ealing","Local Authority","E09000009","All pupils","All pupils","!","5"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Enfield","Local Authority","E09000010","All pupils","All pupils","85","20"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Greenwich","Local Authority","E09000011","All pupils","All pupils","83","24"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Harrow","Local Authority","E09000015","All pupils","All pupils","73","11"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Havering","Local Authority","E09000016","All pupils","All pupils","!","11"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Hillingdon","Local Authority","E09000017","All pupils","All pupils","!","12"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Hounslow","Local Authority","E09000018","All pupils","All pupils","!","5"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Kingston upon Thames","Local Authority","E09000021","All pupils","All pupils","!","23"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Merton","Local Authority","E09000024","All pupils","All pupils","100","6"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Redbridge","Local Authority","E09000026","All pupils","All pupils","!","20"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Richmond upon Thames","Local Authority","E09000027","All pupils","All pupils","!","12"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Sutton","Local Authority","E09000029","All pupils","All pupils","100","41"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Waltham Forest","Local Authority","E09000031","All pupils","All pupils","55","22"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Bracknell Forest","Local Authority","E06000036","All pupils","All pupils","100","4"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Brighton and Hove","Local Authority","E06000043","All pupils","All pupils","100","3"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Buckinghamshire","Local Authority","E10000002","All pupils","All pupils","!","18"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","East Sussex","Local Authority","E10000011","All pupils","All pupils","100","9"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Hampshire","Local Authority","E10000014","All pupils","All pupils","89","35"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Isle of Wight","Local Authority","E06000046","All pupils","All pupils","!","3"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Kent","Local Authority","E10000016","All pupils","All pupils","92","64"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Medway","Local Authority","E06000035","All pupils","All pupils","!","11"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Milton Keynes","Local Authority","E06000042","All pupils","All pupils","67","15"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Oxfordshire","Local Authority","E10000025","All pupils","All pupils","81","26"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Portsmouth","Local Authority","E06000044","All pupils","All pupils","!","7"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Reading","Local Authority","E06000038","All pupils","All pupils","100","21"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Slough","Local Authority","E06000039","All pupils","All pupils","100","5"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Southampton","Local Authority","E06000045","All pupils","All pupils","!","9"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Surrey","Local Authority","E10000030","All pupils","All pupils","86","44"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","West Berkshire","Local Authority","E06000037","All pupils","All pupils","!","12"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","West Sussex","Local Authority","E10000032","All pupils","All pupils","58","12"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Windsor and Maidenhead","Local Authority","E06000040","All pupils","All pupils","100","8"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Wokingham","Local Authority","E06000041","All pupils","All pupils","100","10"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Bath and North East Somerset","Local Authority","E06000022","All pupils","All pupils","!","!"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Bournemouth","Local Authority","E06000028","All pupils","All pupils","!","7"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Bristol, City of","Local Authority","E06000023","All pupils","All pupils","73","15"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Cornwall","Local Authority","E06000052","All pupils","All pupils","!","!"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Devon","Local Authority","E10000008","All pupils","All pupils","!","13"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Dorset","Local Authority","E10000009","All pupils","All pupils","!","11"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Gloucestershire","Local Authority","E10000013","All pupils","All pupils","83","23"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Isles of Scilly","Local Authority","E06000053","All pupils","All pupils","N/A","0"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","North Somerset","Local Authority","E06000024","All pupils","All pupils","!","6"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Plymouth","Local Authority","E06000026","All pupils","All pupils","69","13"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Poole","Local Authority","E06000029","All pupils","All pupils","!","5"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Somerset","Local Authority","E10000027","All pupils","All pupils","73","11"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","South Gloucestershire","Local Authority","E06000025","All pupils","All pupils","100","6"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Swindon","Local Authority","E06000030","All pupils","All pupils","!","10"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Torbay","Local Authority","E06000027","All pupils","All pupils","100","8"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Chinese","White/Asian/Black/Mixed/Chinese","Wiltshire","Local Authority","E06000054","All pupils","All pupils","100","6"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","All - England","Country","E92000001","All pupils","All pupils","63","22753"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","County Durham","Local Authority","E06000047","All pupils","All pupils","67","42"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","Darlington","Local Authority","E06000005","All pupils","All pupils","73","15"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","Gateshead","Local Authority","E08000037","All pupils","All pupils","80","20"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","Hartlepool","Local Authority","E06000001","All pupils","All pupils","63","8"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","Middlesbrough","Local Authority","E06000002","All pupils","All pupils","66","53"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","Newcastle upon Tyne","Local Authority","E08000021","All pupils","All pupils","71","65"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","North Tyneside","Local Authority","E08000022","All pupils","All pupils","86","35"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","Northumberland","Local Authority","E06000057","All pupils","All pupils","69","36"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","Redcar and Cleveland","Local Authority","E06000003","All pupils","All pupils","65","20"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","South Tyneside","Local Authority","E08000023","All pupils","All pupils","53","17"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","Stockton-on-Tees","Local Authority","E06000004","All pupils","All pupils","64","25"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","Sunderland","Local Authority","E08000024","All pupils","All pupils","56","27"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","Blackburn with Darwen","Local Authority","E06000008","All pupils","All pupils","74","61"
"Percentage achieving A*-C in English & mathematics","2016","Academic year","Mixed","White/Asian/Black/Mixed/Chinese","Blackpool","Local Authority","E06000009","All pupils","All pupils","42","24"
