"Title","Physical activity"
"Location","England"
"Time period","2015/2016"
"Data source","Department for Digital, Culture, Media and Sports"
"Data source link","https://www.sportengland.org/research/active-lives-survey"
"Source","https://www.ethnicity-facts-figures.service.gov.uk/"
"Last updated","-"
"Physical Activity Level","Time","Time_type","Ethnicity","Ethnicity_type","Geography","Geography Code","Geography type","Gender","Gender_type","Age Bracket","Age Bracket type","NS SEC","NS SEC type","Value","Denominator","Numerator","Upper CI","Lower CI","Number of Respondents"
"Fairly active","2016","Year","Asian","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-24","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.13522211","3648.686911","493.3831446","0.162180868","0.112144781","1212"
"Fairly active","2016","Year","Black","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-24","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.131942261","1111.254131","146.6213831","0.179960097","0.09524861","388"
"Fairly active","2016","Year","Chinese","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-24","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","152"
"Fairly active","2016","Year","Mixed","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-24","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.10916469","1037.771795","113.2880368","0.151732834","0.077448537","408"
"Fairly active","2016","Year","Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-24","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","140"
"Fairly active","2016","Year","All","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","25-34","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.13251192","31429.4557","4164.77752","0.138869368","0.126402795","23674"
"Fairly active","2016","Year","White-British","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","25-34","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.131182186","21985.09181","2884.052402","0.138433733","0.124255712","17691"
"Fairly active","2016","Year","White-Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","25-34","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.110766003","3662.187847","405.6459088","0.128519822","0.095196805","2669"
"Fairly active","2016","Year","Asian","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","25-34","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.168709628","3292.329698","555.4477189","0.195596648","0.144852995","1800"
"Fairly active","2016","Year","Black","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","25-34","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.168084621","747.8033532","125.6942436","0.221768398","0.133568478","460"
"Fairly active","2016","Year","Chinese","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","25-34","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.106594167","434.6681945","46.33309416","0.154405314","0.072321405","272"
"Fairly active","2016","Year","Mixed","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","25-34","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.102065273","755.693192","77.13003203","0.138806078","0.074211423","483"
"Fairly active","2016","Year","Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","25-34","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.127744193","551.681604","70.4741211","0.1785681","0.089804286","299"
"Fairly active","2016","Year","All","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","35-44","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.146830489","29446.99838","4323.717159","0.153013266","0.140855991","29805"
"Fairly active","2016","Year","White-British","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","35-44","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.143996588","21329.6952","3071.403326","0.150888264","0.137368758","22976"
"Fairly active","2016","Year","White-Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","35-44","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.143429142","2578.794146","369.8742323","0.163855262","0.125168159","2694"
"Fairly active","2016","Year","Asian","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","35-44","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.164185346","3263.781867","535.8651556","0.188386693","0.142547001","2378"
"Fairly active","2016","Year","Black","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","35-44","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.17327679","893.8073866","154.8760753","0.221768398","0.133568478","663"
"Fairly active","2016","Year","Chinese","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","35-44","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.172785794","295.9082051","51.1287341","0.252526773","0.114371984","268"
"Fairly active","2016","Year","Mixed","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","35-44","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.132481007","493.5198425","65.38200574","0.183043617","0.094273693","418"
"Fairly active","2016","Year","Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","35-44","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.127115267","591.4917383","75.18763025","0.179587803","0.088323758","408"
"Fairly active","2016","Year","All","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","45-54","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.143224839","32534.93348","4659.8106","0.149073068","0.137568947","33185"
"Fairly active","2016","Year","White-British","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","45-54","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.13890788","27408.22292","3807.21814","0.145045915","0.132989189","28962"
"Fairly active","2016","Year","White-Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","45-54","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.148422565","1332.767967","197.8128404","0.175292237","0.125047106","1541"
"Fairly active","2016","Year","Asian","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","45-54","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.159457957","1851.346546","295.2119372","0.192359577","0.131269232","1185"
"Fairly active","2016","Year","Black","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","45-54","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.180188499","1009.649969","181.9273121","0.224694364","0.142873534","728"
"Fairly active","2016","Year","Chinese","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","45-54","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.211315092","177.4092915","37.48926083","0.319142902","0.132812184","176"
"Fairly active","2016","Year","Mixed","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","45-54","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.173858057","387.9948699","67.45603427","0.241067587","0.122365322","339"
"Fairly active","2016","Year","Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","45-54","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.197787172","367.5419141","72.6950758","0.287774013","0.130772581","254"
"Fairly active","2016","Year","All","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","55-64","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.147732739","26161.86742","3864.964329","0.153191561","0.142435718","36653"
"Fairly active","2016","Year","White-British","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","55-64","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.148285238","23540.30635","3490.679929","0.15397549","0.142769786","34000"
"Fairly active","2016","Year","White-Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","55-64","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.166486961","769.9247709","128.1824351","0.204624116","0.134257885","1081"
"Fairly active","2016","Year","Asian","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","55-64","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.12899834","911.1002596","117.5304207","0.163535766","0.100875298","681"
"Fairly active","2016","Year","Black","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","55-64","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.182250216","468.3706169","85.36064616","0.241694337","0.134826769","380"
"Fairly active","2016","Year","Chinese","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","55-64","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","117"
"Fairly active","2016","Year","Mixed","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","55-64","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.139751376","164.0228942","22.92242514","0.206664954","0.091990775","195"
"Fairly active","2016","Year","Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","55-64","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","199"
"Fairly active","2016","Year","All","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","65-74","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.153926295","23641.60012","3639.063905","0.15909803","0.148892908","36439"
"Fairly active","2016","Year","White-British","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","65-74","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.154669721","22186.1515","3431.525859","0.159986816","0.149497887","34739"
"Fairly active","2016","Year","White-Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","65-74","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.122099733","616.0444026","75.21885731","0.152458992","0.097093373","852"
"Fairly active","2016","Year","Asian","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","65-74","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.163936323","477.7439717","78.31959016","0.2115473","0.125337325","455"
"Fairly active","2016","Year","Black","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","65-74","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","121"
"Fairly active","2016","Year","Chinese","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","65-74","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","54"
"Fairly active","2016","Year","Mixed","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","65-74","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","84"
"Fairly active","2016","Year","Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","65-74","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","134"
"Fairly active","2016","Year","All","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","75+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.14387721","18402.38442","2647.683728","0.150915896","0.137113794","18797"
"Fairly active","2016","Year","White-British","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","75+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.145885895","17327.8843","2527.893907","0.153174123","0.138887574","17965"
"Fairly active","2016","Year","White-Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","75+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.130151188","419.1258785","54.54973088","0.179512633","0.092827272","397"
"Fairly active","2016","Year","Asian","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","75+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","219"
"Fairly active","2016","Year","Black","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","75+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","107"
"Fairly active","2016","Year","Chinese","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","75+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","14"
"Fairly active","2016","Year","Mixed","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","75+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","39"
"Fairly active","2016","Year","Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","75+","Active Lives survey age brackets","All","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","56"
"Fairly active","2016","Year","All","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 1-2","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.138241272","65376.2872","9037.701088","0.14146861","0.135075975","92714"
"Fairly active","2016","Year","White-British","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 1-2","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.135272837","53942.51169","7296.956617","0.138676857","0.131939575","80009"
"Fairly active","2016","Year","White-Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 1-2","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.124911799","4006.488872","500.4577325","0.136716573","0.113991716","5493"
"Fairly active","2016","Year","Asian","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 1-2","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.164069977","4129.166845","677.4723109","0.181153901","0.148305374","3782"
"Fairly active","2016","Year","Black","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 1-2","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.196542237","1192.090509","234.2961349","0.235214095","0.162874404","1222"
"Fairly active","2016","Year","Chinese","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 1-2","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.18611658","524.4703394","97.61262596","0.240916009","0.141459099","578"
"Fairly active","2016","Year","Mixed","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 1-2","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.13062257","972.09612","126.9776939","0.159947454","0.105995746","987"
"Fairly active","2016","Year","Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 1-2","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.17052389","609.4628277","103.9279724","0.215808313","0.13312862","643"
"Fairly active","2016","Year","All","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 3-5","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.153513289","44829.33238","6881.898237","0.158552433","0.148606014","43975"
"Fairly active","2016","Year","White-British","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 3-5","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.154779625","37576.41699","5816.063747","0.160080564","0.149622954","39178"
"Fairly active","2016","Year","White-Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 3-5","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.133004669","2611.801734","347.3818248","0.155560263","0.113280813","1979"
"Fairly active","2016","Year","Asian","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 3-5","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.165737924","2552.720375","423.0825765","0.196090579","0.139269597","1421"
"Fairly active","2016","Year","Black","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 3-5","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.152075764","865.1756705","131.5722512","0.194451515","0.117586727","579"
"Fairly active","2016","Year","Chinese","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 3-5","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","188"
"Fairly active","2016","Year","Mixed","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 3-5","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.146325983","513.7896526","75.18077586","0.205940834","0.10175673","350"
"Fairly active","2016","Year","Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 3-5","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.130273145","444.5532107","57.91334472","0.205918159","0.079630066","280"
"Fairly active","2016","Year","All","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 6-7","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.138284911","27229.54007","3765.434511","0.145316079","0.131541587","18318"
"Fairly active","2016","Year","White-British","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 6-7","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.137364037","21907.32912","3009.279158","0.145071746","0.130003568","15748"
"Fairly active","2016","Year","White-Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 6-7","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.13670923","1911.310075","261.2937282","0.165628696","0.112160449","1082"
"Fairly active","2016","Year","Asian","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 6-7","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.139709379","1945.128421","271.7526829","0.17020702","0.113926041","776"
"Fairly active","2016","Year","Black","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 6-7","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.18195801","654.006371","119.0016975","0.242488246","0.13386724","301"
"Fairly active","2016","Year","Chinese","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 6-7","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","77"
"Fairly active","2016","Year","Mixed","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 6-7","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","178"
"Fairly active","2016","Year","Other","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 6-7","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","?","?","?","?","?","156"
"Fairly active","2016","Year","All","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.139208419","7165.071671","997.4383014","0.155236547","0.124591116","3830"
"Fairly active","2016","Year","White-British","White-British, White-Other, Asian, Black, Chinese, Mixed, Other","England","E92000001","ONS Geography Code","All","Male/Female/All","16-74","Active Lives survey age brackets","NS SEC 8","NS-SEC 1-2, NS-SEC 3-4, NS-SEC 5-7, NS-SEC 8, NS-SEC 9","0.132530676","4542.20536","601.9815484","0.15007743","0.116753635","2753"
